Volume,Page,KF Scientific Name,KF Scientific Name,AH Scientific Name,AH Common Name,"Dimensions (hxw, cm)",Place Name-1,Year-1,Place Name-2,Year-2,Place Name-3,Year-3,Place Name-4,Year-4,Place Name-5,Year-5,Place Name-6 ,Year-6,Place Name-7,Year-7,Place Name-8,Year-8,,
1,95,Hudsonia tomentosa Nutt ,,Hudsonia tomentosa Nutt ,sand false heather,24.8 x 17.8,Wells,1879,Ogunquit,1898,Drake's Island,1898,Wells,1897,,,,,,,,,,
1,97,Lechea intermedia Leggett ,Lechea major,Lechea intermedia Leggett ex Britt,round-fruited pinweed,35.1 x 26.2 ,Trapp's Pond,nd,Leeds Center,1895,,,,,,,,,,,,,,
1,98,Lechea intermedia Leggett ,,Lechea intermedia Leggett ex Britt,round-fruited pinweed,31.5 x 23.8,Topsham,1877,Chesterville,1877,Gilead,1897,Brunswick,1878,,,,,,,,,,
1,99,Lechea intermedia Leggett ,,Lechea intermedia Leggett ex Britt,round-fruited pinweed,28.5 x 15.8,Brunswick,1878,Topsham,1877,,,,,,,,,,,,,,
1,100,Lechea juniperina Leggett,,Lechea intermedia Leggett ex Britt,round-fruited pinweed,38.4 x 27.8,Gilead,1897,,,,,,,,,,,,,,,,
1,103,Cardamine bellidifolia L ,,Cardamine bellidifolia L ,alpine bitter-cress,38.7 x 28.0,West Baldwin,1900,,,,,,,,,,,,,,,,
1,105,Ranunculus repens L ,,Ranunculus repens L ,spot-leaveDCrowfoot,36.3 x 28.2,Great Diamond Island,1888,Fairfield,1901,Rockland,1904,Cutler,1903,Brunswick,1907,Topsham,1892,,,,,,
1,110,Nasturtium officinale R Br ,,Nasturtium officinale Ait f,two-rowed water cress,30.0 x 24.0,Biddeford,1888,,,,,,,,,,,,,,,,
1,111,Nasturtium officinale R Br ,,Nasturtium officinale Ait f,two-rowed water cress,30.0 x 17.8,Wells,1879,,,,,,,,,,,,,,,,
1,113,Brassica arvensis Ktze ,Brassica sinopistrum Boiss ,Sinapis arvensis L ,corn charlock,37.9 x 28.1,East Livermore,1896,,,,,,,,,,,,,,,,
1,115,Thlaspi arvense L ,,Thlaspi arvense L ,field penny-cress,38.0 x 26.2,Brunswick,1907,,,,,,,,,,,,,,,,
1,71v,Veratrum latifolium,[plus other sketches],Veratrum viride Ait,American false hellebore,35.5 x 27.2,nd,1877,,,,,,,,,,,,,,,,
2,1,Viola papilionaceae Pursh ,Viola cucullata Ait ,Viola cucullata Ait ,blue marsh violet,18.7 x 13.7,Brunswick,1870,South Poland,1893,,,,,,,,,,,,,,
2,2,Viola cucullata Ait ,,Viola cucullata Ait ,blue marsh violet,24.9 x 16.7,Brunswick,1870,,,,,,,,,,,,,,,,
2,3,Viola septentrionalis Greene ,Viola cucullata Ait ,Viola cucullata Ait ,blue marsh violet,20.6 x 16.0,Brunswick,1870,,,,,,,,,,,,,,,,
2,4,Viola nephrophylla Greene ,Viola cucullata Ait ,Viola cucullata Ait ,blue marsh violet,24.6 x 22.8,Caribou,1880,,,,,,,,,,,,,,,,
2,5,Viola nephrophylla Greene ,Viola cucullata Ait ,Viola cucullata Ait ,blue marsh violet,26.7 x 18.2,Caribou,1881,,,,,,,,,,,,,,,,
2,6,Viola septentrionalis Greene ,Viola cucullata Ait ,Viola cucullata Ait ,blue marsh violet,34.7 x 26.5,Brunswick,1901,,,,,,,,,,,,,,,,
2,7,Viola cucullata Ait ,,Viola cucullata Ait ,blue marsh violet,35.3 x 27.0,Orono,1892,,,,,,,,,,,,,,,,
2,8,Viola frimbriatula Sm ,,Viola sagittata Ait ,arrowhead violet,37.8 x 27.5,Brunswick,1892,,,,,,,,,,,,,,,,
2,9,Viola sororia Willd ,,Viola sororia Willd ,woolly blue violet,37.5 x 27.7,Gray,1908,West Bath,1902,,,,,,,,,,,,,,
2,10,Viola fimbriatula Sm ,,Viola sagittata Ait ,arrowhead violet,38.1 x 28.6,West Bath,1902,,,,,,,,,,,,,,,,
2,11,Viola septentrionalis Greene ,Viola cucullata Ait ,Viola cucullata Ait ,blue marsh violet,37.5 x 27.3,Cutler,1902,Winnegance,1907,,,,,,,,,,,,,,
2,12,Viola cucullata Ait ,,Viola cucullata Ait ,blue marsh violet,38.0 x 27.5,Marshfield,1902,Isle au Haut,1909,,,,,,,,,,,,,,
2,13,Viola incognita Brainerd ,,Viola blanda Willd ,sweet white violet,38.2 x 27.9,Cutler,1902,,,,,,,,,,,,,,,,
2,14,Viola primulaefolia L ,,Viola primulifolia L ,primrose-leaved violet,29.3 x 21.4,East Livermore,1878,Gilead,1897,Cumberland,nd,Orono,nd,,,,,,,,,,
2,15,Viola frimbriatula Sm ,Viola sagittata Ait ,Viola sagittata Ait ,arrowhead violet,27.1 x 24.4,Brunswick,nd,Wells,nd,South Poland,1893,West Baldwin,1897,Orono,nd,Fayette,1878,,,,,,
2,16,Viola frimbriatula Sm ,,Viola sagittata Ait ,arrowhead violet,20.1 x 19.4,,,,,,,,,,,,,,,,,,
2,17,Viola frimbriatula Sm ,,Viola sagittata Ait ,arrowhead violet,21.5 x 18.3,Brunswick,1870,,,,,,,,,,,,,,,,
